station_id,root_grdc_no,test_start_year,test_end_year
4115301,4115201,2017,2022
4116325,4115201,2017,2022
4115305,4115201,2017,2022
4116330,4115201,2017,2022
4116331,4115201,2017,2022
4215660,4115201,2017,2022
4116332,4115201,2017,2022
4115310,4115201,2017,2022
4115311,4115201,2017,2022
4116335,4115201,2017,2022
4116333,4115201,2017,2022
4116340,4115201,2017,2022
4215670,4115201,2017,2022
4215160,4115201,2017,2022
4115322,4115201,2017,2022
4215165,4115201,2017,2022
4116350,4115201,2017,2022
4116351,4115201,2017,2022
4115330,4115201,2017,2022
4115331,4115201,2017,2022
4115332,4115201,2017,2022
4116360,4115201,2017,2022
4115340,4115201,2017,2022
4215181,4115201,2017,2022
4115344,4115201,2017,2022
4115345,4115201,2017,2022
4215185,4115201,2017,2022
4115347,4115201,2017,2022
4115348,4115201,2017,2022
4115349,4115201,2017,2022
4115350,4115201,2017,2022
4115351,4115201,2017,2022
4116370,4115201,2017,2022
4215706,4115201,2017,2022
4215710,4115201,2017,2022
4215200,4115201,2017,2022
4116400,4115201,2017,2022
4116401,4115201,2017,2022
4116402,4115201,2017,2022
4116405,4115201,2017,2022
4215230,4115201,2017,2022
4215750,4115201,2017,2022
4115400,4115201,2017,2022
4115401,4115201,2017,2022
4115403,4115201,2017,2022
4115410,4115201,2017,2022
4215250,4115201,2017,2022
4215260,4115201,2017,2022
4116450,4115201,2017,2022
4116451,4115201,2017,2022
4116452,4115201,2017,2022
4215270,4115201,2017,2022
4116460,4115201,2017,2022
4116461,4115201,2017,2022
4116470,4115201,2017,2022
4116471,4115201,2017,2022
4115450,4115201,2017,2022
4115451,4115201,2017,2022
4126851,4126806,2017,2023
4126351,4126806,2017,2023
4126352,4126806,2017,2023
4126801,4126806,2017,2023
4126802,4126806,2017,2023
4126803,4126806,2017,2023
4126804,4126806,2017,2023
4126805,4126806,2017,2023
4126806,4126806,2017,2023
4126810,4126806,2017,2023
4126300,4126806,2017,2023
4126301,4126806,2017,2023
4123136,4127800,2017,2023
4123137,4127800,2017,2023
4123140,4127800,2017,2023
4122630,4127800,2017,2023
4119050,4127800,2017,2023
4122635,4127800,2017,2023
4121100,4127800,2017,2023
4121101,4127800,2017,2023
4121102,4127800,2017,2023
4122639,4127800,2017,2023
